Site_ID,method,ID,CO2-eq.year.july,CO2-eq.year.seasonal,CO2-eq.year.gam,CO2-eq.year.gam2,
14A,July,CH4,1560.195159,974.9703165,24.65326014,1109.396706,
14A,July,CO2,5158.255106,3173.71319,1496.683282,1496.683282,
14A,July,N2O,5936.587839,2893.589099,0.023040807,-8.288465486,
14B,July,CH4,2740.229701,1610.991945,31.57992923,1421.096815,
14B,July,CO2,98.90122561,1294.657327,476.3098169,476.3098169,
14B,July,N2O,103.7904778,94.03333991,-0.062684918,-35.26747719,
23A,July,CH4,3184.353301,81537.83751,167.0179237,7515.806568,
23A,July,CO2,-1517.030618,638.0624362,-741.4475656,-741.4475656,
23A,July,N2O,-133.8748764,-67.59275612,-0.448506708,-161.1135447,
32A,July,CH4,1465.689279,4378.442181,68.02679325,3061.205696,
32A,July,CO2,303.6705194,1130.261689,514.1281801,514.1281801,
32A,July,N2O,-67.4556081,-47.3675539,-0.335113848,-123.3867958,
32B,July,CH4,3452.489574,3434.483757,67.67439084,3045.347588,
32B,July,CO2,-534.604095,-635.9679776,-402.9474237,-402.9474237,
32B,July,N2O,-65.5145787,117.9877719,0.062486496,3.624143503,
32C,July,CH4,3109.276445,1801.293709,35.54108843,1599.348979,
32C,July,CO2,-888.7291241,-1037.239798,-517.5834888,-517.5834888,
32C,July,N2O,-72.7445675,-43.42971627,-0.265019621,-100.4776763,
4A,July,CH4,12353.44608,6580.736407,211.0815698,9498.670641,
4A,July,CO2,-1141.319452,-275.5129635,-130.8437161,-130.8437161,
4A,July,N2O,-71.79676278,-65.99931816,-0.307267486,-114.2542747,
4C,July,CH4,5107.319729,7182.577688,136.6346581,6148.559614,
4C,July,CO2,-1532.265049,-348.0141459,-342.5667173,-342.5667173,
4C,July,N2O,-95.48763823,-46.00087106,-0.392485447,-142.33823,
4D,July,CH4,12547.13693,10413.31358,160.2645479,7211.904654,
4D,July,CO2,-1501.768888,-955.9722396,-293.2599283,-293.2599283,
4D,July,N2O,-64.29451009,219.5142086,0.019206754,-10.08262317,
56A,July,CH4,241.0007928,139.1493407,3.321498168,149.4674176,
56A,July,CO2,-205.1792491,-677.5306782,-393.176408,-393.176408,
56A,July,N2O,-49.74886147,23.06473394,-0.240335292,-92.44115323,
56B,July,CH4,912.5857002,511.8283896,10.70863286,481.8884788,
56B,July,CO2,1699.795555,560.1586951,220.6311386,220.6311386,
56B,July,N2O,-106.4577403,-63.33096027,-0.447505521,-160.667826,
61B,July,CH4,1173.221774,763.0773894,17.40431684,783.1942576,
61B,July,CO2,3717.253174,3325.992461,1520.456249,1520.456249,
61B,July,N2O,254.7418796,181.3505764,0.155638371,33.38131042,
61C,July,CH4,5293.84278,3155.428894,62.72680553,2822.706249,
61C,July,CO2,-1404.124647,100.3704117,-98.18610004,-98.18610004,
61C,July,N2O,-67.70883806,-36.47390999,-0.326078484,-120.4533794,
62B,July,CH4,10643.36565,6026.541766,107.8287223,4852.292502,
62B,July,CO2,1109.651958,352.6990555,80.1926142,80.1926142,
62B,July,N2O,-17.150345,-36.63768307,-0.327620618,-120.8546081,
62C,July,CH4,35802.33433,17599.19043,241.5918993,10871.63547,
62C,July,CO2,660.3459717,-106.5935782,-90.24757087,-90.24757087,
62C,July,N2O,-55.1688308,-80.19656001,-0.42184243,-152.0444438,
62E,July,CH4,5877.957526,3193.927054,54.58999196,2456.549638,
62E,July,CO2,6355.300398,4220.088026,1524.132928,1524.132928,
62E,July,N2O,183.0395321,315.8157698,0.530321873,142.9422901,
66A,July,CH4,3103.152777,1763.108752,31.48479485,1416.815768,
66A,July,CO2,515.3382232,5236.540217,4739.271339,4739.271339,
66A,July,N2O,-130.0316559,-107.1519085,-0.512251054,-182.4590106,
66B,July,CH4,3117.419033,2156.516686,43.87416672,1974.337503,
66B,July,CO2,-992.5205681,1552.101257,510.5248785,510.5248785,
66B,July,N2O,-87.8866537,-67.59967108,-0.380929396,-138.4871185,
66C,July,CH4,13000.07912,7075.376362,111.6997533,5026.488899,
66C,July,CO2,-1111.236882,2038.028014,1164.592655,1164.592655,
66C,July,N2O,-106.9227145,-79.46224623,-0.403726329,-146.0678802,
68A,July,CH4,36511.60687,23513.76307,460.0101556,20700.457,
68A,July,CO2,-854.0186342,1416.53447,842.3271551,842.3271551,
68A,July,N2O,-192.7939887,992.5709545,-0.142644963,-60.97177668,